FIPS,State,Area_Name,Population Density,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only ,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher ,RESIDUAL_2018,GQ_ESTIMATES_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,PrivateWork,PublicWork,Post-Recession Poverty Percent,Pre-Recession Poverty Percent,Overall Recession Impact Index,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,Poverty,ChildPoverty,Service,Unemployment,Housing Units Per Person
01001,AL,Autauga County,91.8,11.3,32.6,28.4,27.7,0,455,0,0.7,0.6,74.1,19.1,11.9,10.4,1.5,55036,26899,28137,2.7,75.4,18.9,0.3,0.9,0,55317,13.7,20.1,18,5.2,0.4015553456
01003,AL,Baldwin County,114.6,9.7,27.6,31.3,31.3,27,2190,0.5,24.3,24.8,76,17.4,13.3,10.3,3,203360,99527,103833,4.4,83.1,9.5,0.8,0.7,0,52562,11.8,16.1,18.2,5.5,0.5117083006
01005,AL,Barbour County,31,27,35.7,25.1,12.2,1,2820,0.5,-9.1,-8.6,83.9,11.9,25.3,26.1,-0.8,26201,13976,12225,4.2,45.7,47.8,0.2,0.6,0,33368,27.2,44.9,16.8,12.4,0.4514713179
01007,AL,Bibb County,36.8,16.8,47.3,24.4,11.5,-1,2151,0.4,-7,-6.6,81.4,13.6,20.9,18.2,2.7,22580,12251,10329,2.4,74.6,22,0.4,0,0,43404,15.2,26.6,17.6,8.2,0.397741364
01009,AL,Blount County,88.9,19.8,34,33.5,12.6,-4,489,0.1,-0.2,0,79.1,15.3,16.5,13.1,3.4,57667,28490,29177,9,87.4,1.5,0.3,0.1,0,47412,15.6,25.4,12.9,4.9,0.4142230392
01011,AL,Bullock County,17.5,24.8,39.7,22.3,13.3,-1,1661,-0.2,-3,-3.2,74.9,19.9,31.1,34,-2.9,10478,5616,4862,0.3,21.6,75.6,1,0.7,0,29655,28.5,50.4,17.1,12.1,0.4288032067
01013,AL,Butler County,27,15.4,43.9,24.6,16.1,0,333,0.9,-11,-10.1,84.5,11.8,28.1,23.2,4.9,20126,9416,10710,0.3,52.2,44.7,0.1,1.1,0,36326,24.4,34.8,17.3,7.6,0.4950809898
01015,AL,Calhoun County,195.7,15.9,32.4,33.7,18,-4,2739,0.6,-2.2,-1.6,74.8,17.1,23.5,17.1,6.4,115527,55593,59934,3.6,72.7,20.4,0.2,1,0,43686,18.6,26.6,17.5,10.1,0.4612687943
01017,AL,Chambers County,57.4,18.6,38.4,29.7,13.2,-1,458,0.6,-1.7,-1.1,81.1,14,28.5,15.6,12.9,33895,16320,17575,2.2,56.2,39.3,0.3,1,0,37342,18.8,29.1,13.5,6.4,0.5016669125
01019,AL,Cherokee County,46.9,19.8,38.3,29,12.9,1,290,0,13,13,79.9,14.8,21.2,18.9,2.3,25855,12862,12993,1.6,91.8,5,0.5,0.1,0,40041,16.1,20,14.8,5.3,0.6291626378
01021,AL,Chilton County,63,17.8,44.1,24,14.2,-3,393,0.6,-0.1,0.4,83.1,11.8,20.4,16.7,3.7,43805,21554,22251,7.7,80.4,9.5,0.4,0.4,0,43501,19.4,27.8,14.5,6.7,0.4400867481
01023,AL,Choctaw County,15.2,18.6,38.2,30.2,13,0,129,-0.2,-3.9,-4,77.8,14.5,20.7,21.8,-1.1,13188,6277,6911,0.5,56.3,42.1,0,0.1,0,32122,22.3,32.8,15.4,9.8,0.5511828935
01025,AL,Clarke County,20.9,18.8,43.7,24.9,12.6,-2,280,-0.1,-5.5,-5.6,76.1,15.7,24.9,21.8,3.1,24625,11649,12976,0.2,53,45.7,0.1,0.5,0.1,33827,25.3,30.7,14.3,15.2,0.5132182741
01027,AL,Clay County,23.1,24.5,36.3,29.1,10.2,0,255,-0.1,-3.2,-3.2,73.6,20.7,20.6,15.5,5.1,13407,6471,6936,3.1,80.2,14.7,0.9,0,0,37287,19.1,23.5,14.6,6.4,0.5054076229
01029,AL,Cleburne County,26.7,22.6,39.6,24.1,13.7,-2,178,-0.5,8.2,7.6,78.1,16.1,17.8,15.4,2.4,14939,7367,7572,2.4,92.7,2.8,0.3,0.5,0,37396,19.1,31,11.4,7.8,0.4496954281
01031,AL,Coffee County,73.6,13.8,27.9,34.9,23.4,-2,518,0.3,0.1,0.4,79.5,12.3,20.1,16.5,3.6,51073,25225,25848,6.7,71,17.1,1,1.3,0,49821,16.1,26.3,17.3,6,0.4372173164
01033,AL,Colbert County,91.8,15.6,36,29.7,18.7,0,474,0.1,5.9,6,78.8,15.9,19.2,16.5,2.7,54435,26143,28292,2.4,78.8,15.9,0.7,0.5,0,45477,16.8,24.1,15.4,6.9,0.4731882061
01035,AL,Conecuh County,15.6,19.2,48.8,21.3,10.7,0,45,0.1,-8.3,-8.2,80,13.2,25.7,24.7,1,12649,6040,6609,1.8,50.3,46.3,0.2,0,0,30434,26.4,39.3,19.7,14.5,0.560755791
01037,AL,Coosa County,17.7,20.4,38.6,29.5,11.6,-1,248,1.3,-2.1,-0.8,73,19.1,18.6,15.1,3.5,10955,5474,5481,0.1,65.3,33.2,0.1,0,0,34792,14.4,17.9,23.2,11.3,0.5913281607
01039,AL,Covington County,36.6,17.1,35.4,32.5,14.9,-2,575,-0.1,0.6,0.6,81.3,11.9,20.9,19.4,1.5,37519,18133,19386,1.6,83.5,13,0.3,0.4,0,39467,17.6,25,14.3,10.7,0.5018523948
01041,AL,Crenshaw County,22.8,21.6,38.8,24,15.6,0,132,-0.1,0.4,0.2,73.6,20.7,20.3,18.3,2,13866,6786,7080,1.8,71.2,23.1,0.8,1.4,0,38937,17.6,22.5,13.1,6.4,0.4857204673
01043,AL,Cullman County,109.4,18.2,35.6,32.4,13.7,-4,1049,0.3,7.7,8.1,78.8,15.2,19.2,14.2,5,81703,40223,41480,4.2,92.3,1.1,0.4,0.6,0,40997,16.4,19.6,14.6,5.8,0.4535206786
01045,AL,Dale County,89.6,14.2,32.7,36.1,17,-1,922,-0.7,-7.3,-8.1,78,12.1,17.8,16.7,1.1,49393,24524,24869,6.1,69.5,19.2,0.5,0.9,0,44711,19.6,27.2,15.3,10.4,0.4591136396
01047,AL,Dallas County,44.8,19.3,35.2,30.4,15.1,1,852,0.1,-22.1,-22,72.9,21.4,35.6,30.2,5.4,40755,18809,21946,1,27.7,70.2,0,0.4,0,30065,31.9,49.5,18.2,13.7,0.4958410011
01049,AL,DeKalb County,91.5,25.9,33.3,28.1,12.7,-4,782,0.5,-0.8,-0.4,75.6,19.7,20.8,18.4,2.4,71194,35328,35866,14.3,80.8,1.4,1.2,0.3,0.1,38842,21.5,31,15.2,5.1,0.4369609799
01051,AL,Elmore County,128.2,13.6,32.8,29,24.5,-1,5021,0.3,4.6,4.8,80.3,13.9,12.5,11.3,1.2,80989,39357,41632,2.9,73.4,21.2,0.3,0.6,0,54981,13.5,20.4,13.2,7.3,0.4032275988
01053,AL,Escambia County,40.5,18.5,44.5,24.4,12.7,0,2685,0.1,-5.5,-5.5,79.6,15.4,26.1,22.4,3.7,37621,19326,18295,2.2,60.2,32.2,3.6,0.4,0.1,35026,23.8,33.3,21.2,13.7,0.4382127004
01055,AL,Etowah County,195.2,15.5,32.9,33.9,17.7,-5,2086,0.2,-1.5,-1.3,78.5,15.6,19,17.4,1.6,103132,49738,53394,3.7,78.3,15.4,0.5,0.7,0.1,42064,17.9,28.7,18.5,7.6,0.460128767
01057,AL,Fayette County,27.5,17.6,41.5,27.9,12.9,-3,291,0.2,1,1.2,73.8,16.5,27.3,17.2,10.1,16657,8191,8466,1.7,85,11.5,0,0.5,0,36541,18.1,25,17.9,8.4,0.506513778
01059,AL,Franklin County,50,23.2,36.8,27.1,12.9,1,272,1.5,-10.7,-9.2,73.4,22,21.6,20.1,1.5,31507,15818,15689,16.3,77.7,4.7,0.2,0.4,0.1,39501,23,42,13.9,8.2,0.4450439585
01061,AL,Geneva County,46.6,20.9,37.2,30.8,11.1,-1,229,-0.2,-0.2,-0.4,82.1,12.6,20.3,19.5,0.8,26572,13008,13564,3.8,84,9.2,0.6,0.4,0,39293,22.5,37.6,17.3,8.9,0.477457474
01063,AL,Greene County,14,24.1,36.8,29,10.1,-1,45,0.1,-10.4,-10.3,80.5,14.7,31,31.3,-0.3,8533,4058,4475,1.2,17.1,80.3,0.6,0,0,20954,38.8,67.8,18,14.8,0.5867807336
01065,AL,Hale County,24.5,16.4,42.6,26.9,14.1,-1,221,0,-4.1,-4.1,81.9,12.1,24.8,24,0.8,14995,7049,7946,1.3,39.5,58.7,0.2,0.2,0,34679,26.1,37.7,18.3,11.7,0.5105035012
01067,AL,Henry County,30.8,19.8,33.5,28.7,18,-1,199,0.1,6.1,6.2,77.4,15.5,18.1,17.9,0.2,17110,8208,8902,2.5,68.7,27.8,0,0,0,45569,13.7,17.2,19,6.7,0.5196376388
01069,AL,Houston County,175.1,14.3,31.6,33,21,-6,1416,0.4,2.1,2.5,81.8,13.5,17.9,15.7,2.2,104108,49905,54203,3.2,67.2,26.5,0.3,0.8,0,42803,18.5,29.5,18.6,7.6,0.4353075652
01071,AL,Jackson County,49.4,17.5,40.8,27.5,14.2,-3,597,0.2,-1.3,-1.1,76.6,18.5,19.9,17.6,2.3,52326,25712,26614,2.9,89.3,3.2,1,0.5,0.1,39281,19,27.4,12.9,7.7,0.4736842105
01073,AL,Jefferson County,592.5,10.3,26.8,30.6,32.4,-31,16694,0.7,-2.7,-2,77.6,15.6,18.6,15.1,3.5,659460,312333,347127,3.7,50.4,42.4,0.2,1.5,0,49321,17.6,25.6,16.9,7.7,0.4557547084
01075,AL,Lamar County,24.1,17.6,39.9,30,12.5,-1,217,-0.1,0.3,0.2,80.6,14.2,21.5,18.5,3,14021,6875,7146,1.5,86,10.8,0.3,0,0,36016,23.1,37.3,14.5,7.9,0.5244989658
01077,AL,Lauderdale County,138.8,12.6,36,27.5,23.9,-4,2086,0.3,0.2,0.5,77.1,18.3,17.6,18.1,-0.5,92590,44263,48327,2.5,84.9,9.8,0.4,0.7,0,44888,16.3,21.9,18.6,6.6,0.4729560428
01079,AL,Lawrence County,49.7,21,41.5,25.8,11.7,-3,229,-0.1,-1.8,-1.9,77.3,16.3,18.1,15,3.1,33288,16164,17124,2.1,76.6,11.4,5.2,0.1,0,43779,16.6,19,15.4,7.2,0.4574921894
01081,AL,Lee County,230.8,9.5,24.1,32.3,34.1,-4,4958,2.1,7.4,9.5,79.3,16.4,21.3,17.3,4,156597,77172,79425,3.7,67.6,22.9,0.1,3.8,0,47564,22,24,16.6,5.7,0.3984175942
01083,AL,Limestone County,147.8,15.7,30.3,28.5,25.5,6,2696,0.4,20,20.4,77.7,17.3,14.1,12.6,1.5,91695,45889,45806,5.8,77.2,13.1,0.7,1.2,0,52831,14.8,20,15.5,7.1,0.3814493702
01085,AL,Lowndes County,15.8,22.5,38.6,24.8,14.1,1,96,-0.2,-11,-11.2,76.3,19,30.7,30,0.7,10362,4896,5466,0.7,24.3,74.4,0.1,0,0,29785,30.2,48.4,17.4,11.2,0.4960432349
01087,AL,Macon County,35.2,18.3,30.1,30.9,20.7,1,1723,-0.1,-16.1,-16.2,77.6,17.1,31.2,29.6,1.6,19358,8933,10425,1.6,15.5,81.5,0.2,0.2,0,32308,25.9,39.3,24,14.5,0.5299617729
01089,AL,Madison County,417.7,8.9,20.8,28.6,41.7,7,8320,1.5,9.3,10.7,77.6,15.8,12.7,11.3,1.4,353213,172568,180645,4.7,65.1,24,0.6,2.5,0.1,61318,13.6,20,15.2,6.5,0.4146138449
01091,AL,Marengo County,21.5,16.2,39.8,28.6,15.4,0,254,0.1,-13.3,-13.2,79.2,13.5,23.6,20,3.6,19743,9235,10508,0.4,45.1,54.1,0.1,0,0,32255,25.6,36.5,17.6,12.8,0.5185128906
01093,AL,Marion County,41.5,20.3,34.8,31.7,13.1,-3,750,0,3.7,3.8,82,13.1,20.9,19.7,1.2,30058,14880,15178,2.5,91.9,3.2,0.4,0.3,0,35719,17.6,24.1,16.4,5.5,0.4902854481
01095,AL,Marshall County,164.4,19.1,31.1,30.5,19.2,-4,1046,0.4,2.4,2.8,75.9,18.9,19.4,19.6,-0.2,94738,46771,47967,13.3,81.8,2.2,0.5,0.6,0.1,41104,21,34.1,15.6,6.5,0.4258270177
