FIPS,Area_Name,Unemployment
01001,Autauga County,5.2
01003,Baldwin County,5.5
01005,Barbour County,12.4
01007,Bibb County,8.2
01009,Blount County,4.9
01011,Bullock County,12.1
01013,Butler County,7.6
01015,Calhoun County,10.1
01017,Chambers County,6.4
01019,Cherokee County,5.3
01021,Chilton County,6.7
01023,Choctaw County,9.8
01025,Clarke County,15.2
01027,Clay County,6.4
01029,Cleburne County,7.8
01031,Coffee County,6
01033,Colbert County,6.9
01035,Conecuh County,14.5
01037,Coosa County,11.3
01039,Covington County,10.7
01041,Crenshaw County,6.4
01043,Cullman County,5.8
01045,Dale County,10.4
01047,Dallas County,13.7
01049,DeKalb County,5.1
01051,Elmore County,7.3
01053,Escambia County,13.7
01055,Etowah County,7.6
01057,Fayette County,8.4
01059,Franklin County,8.2
01061,Geneva County,8.9
01063,Greene County,14.8
01065,Hale County,11.7
01067,Henry County,6.7
01069,Houston County,7.6
01071,Jackson County,7.7
01073,Jefferson County,7.7
01075,Lamar County,7.9
01077,Lauderdale County,6.6
01079,Lawrence County,7.2
01081,Lee County,5.7
01083,Limestone County,7.1
01085,Lowndes County,11.2
01087,Macon County,14.5
01089,Madison County,6.5
01091,Marengo County,12.8
01093,Marion County,5.5
01095,Marshall County,6.5
01097,Mobile County,7.5
01099,Monroe County,21.6
01101,Montgomery County,7.6
01103,Morgan County,6.5
01105,Perry County,11.8
01107,Pickens County,12.2
01109,Pike County,8.7
01111,Randolph County,5.8
01113,Russell County,9.7
01115,St. Clair County,5.8
01117,Shelby County,4.3
01119,Sumter County,13.4
01121,Talladega County,10
01123,Tallapoosa County,9.2
01125,Tuscaloosa County,6.7
01127,Walker County,10
01129,Washington County,11
01131,Wilcox County,17.2
01133,Winston County,9.4
02013,Aleutians East Borough,2.4
02016,Aleutians West Census Area,1.9
02020,Anchorage Municipality,5.8
02050,Bethel Census Area,19.3
02060,Bristol Bay Borough,6.8
02068,Denali Borough,1.9
02070,Dillingham Census Area,11.4
02090,Fairbanks North Star Borough,8
02100,Haines Borough,2.7
02110,Juneau City and Borough,4.8
02122,Kenai Peninsula Borough,8.6
02130,Ketchikan Gateway Borough,7
02150,Kodiak Island Borough,5.3
02164,Lake and Peninsula Borough,13.2
02170,Matanuska-Susitna Borough,9.8
02180,Nome Census Area,16.6
02185,North Slope Borough,9.5
02188,Northwest Arctic Borough,20.1
02198,Prince of Wales-Hyder Census Area,13.5
02220,Sitka City and Borough,5
02230,Skagway Municipality,7.9
02240,Southeast Fairbanks Census Area,12.5
02261,Valdez-Cordova Census Area,7.5
02275,Wrangell City and Borough,7
02282,Yakutat City and Borough,6.5
02290,Yukon-Koyukuk Census Area,19.7
04001,Apache County,14.1
04003,Cochise County,7.6
04005,Coconino County,8.3
04007,Gila County,11.7
04009,Graham County,12.2
04011,Greenlee County,7.6
04012,La Paz County,9.5
04013,Maricopa County,6
04015,Mohave County,10.1
04017,Navajo County,16.3
04019,Pima County,8.4
04021,Pinal County,7.8
04023,Santa Cruz County,8.7
04025,Yavapai County,7.3
04027,Yuma County,10.9
05001,Arkansas County,8.5
05003,Ashley County,9.9
05005,Baxter County,5.8
05007,Benton County,3.1
05009,Boone County,6.1
05011,Bradley County,9.4
5013,Calhoun County,5.7
5015,Carroll County,5.1
5017,Chicot County,10.1
5019,Clark County,4.5
5021,Clay County,5.3
5023,Cleburne County,5.5
5025,Cleveland County,6.6
5027,Columbia County,9.5
5029,Conway County,7.1
5031,Craighead County,6
5033,Crawford County,6.2
5035,Crittenden County,8.4
5037,Cross County,6.8
5039,Dallas County,6.4
5041,Desha County,12.2
5043,Drew County,9
5045,Faulkner County,5.1
5047,Franklin County,6.6
5049,Fulton County,6.9
5051,Garland County,9
5053,Grant County,8.7
5055,Greene County,7
5057,Hempstead County,6.4
5059,Hot Spring County,6.2
5061,Howard County,5.7
5063,Independence County,6
