State FIPS,Postal Code,Name,CSI Recession Index,Unemployment
1,AL,Alabama,1.8,3.7
2,AK,Alaska,2.6,6.3
4,AZ,Arizona,3.6,4.2
5,AR,Arkansas,2.3,5.5
6,CA,California,3.4,5.9
8,CO,Colorado,1.9,4
9,CT,Connecticut,1.2,4.8
10,DE,Delaware,1.6,3.5
11,DC,District of Columbia,0.4,5.7
12,FL,Florida,3.9,4.5
13,GA,Georgia,3.7,4.5
15,HI,Hawaii,0.9,3.1
16,ID,Idaho,2.7,2.7
17,IL,Illinois,2.8,5.3
18,IN,Indiana,3.2,4.5
19,IA,Iowa,0.9,3.8
20,KS,Kansas,2.4,4.2
21,KY,Kentucky,3.3,5.3
22,LA,Louisiana,3.1,4
23,ME,Maine,2.1,4.9
24,MD,Maryland,1.5,3.6
25,MA,Massachusetts,0.3,4.3
26,MI,Michigan,3.8,7.4
27,MN,Minnesota,1.2,4.7
28,MS,Mississippi,3.1,6.3
29,MO,Missouri,2.6,5.3
30,MT,Montana,1.5,3.2
31,NE,Nebraska,1.8,2.8
32,NV,Nevada,3.9,5.2
33,NH,New Hampshire,0.3,3.4
34,NJ,New Jersey,2.3,4.2
35,NM,New Mexico,3.6,3.2
36,NY,New York,2.1,4.6
37,NC,North Carolina,2.7,4.7
38,ND,North Dakota,0.2,3.2
39,OH,Ohio,3.3,5.8
40,OK,Oklahoma,1.1,4.1
41,OR,Oregon,2.4,5.4
42,PA,Pennsylvania,1.8,4.4
44,RI,Rhode Island,3.4,5.2
45,SC,South Carolina,3,6.2
46,SD,South Dakota,0.9,2.9
47,TN,Tennessee,3.3,5
48,TX,Texas,3.6,4.2
49,UT,Utah,0.6,2.9
50,VT,Vermont,0.7,3.9
51,VA,Virginia,2.1,3.2
53,WA,Washington,1,4.6
54,WV,West Virginia,1.8,4.6
55,WI,Wisconsin,1.3,4.8
56,WY,Wyoming,0.5,3
1,AL,Alabama,2.4,3.7
2,AK,Alaska,1.2,6.3
4,AZ,Arizona,3,4.2
5,AR,Arkansas,3,5.5
6,CA,California,3.1,5.9
8,CO,Colorado,1.2,4
9,CT,Connecticut,1.3,4.8
10,DE,Delaware,1.8,3.5
11,DC,District of Columbia,0.7,5.7
12,FL,Florida,3.3,4.5
13,GA,Georgia,3.2,4.5
15,HI,Hawaii,1,3.1
16,ID,Idaho,2.9,2.7
17,IL,Illinois,2.6,5.3
18,IN,Indiana,3.1,4.5
19,IA,Iowa,1,3.8
20,KS,Kansas,1.6,4.2
21,KY,Kentucky,3.2,5.3
22,LA,Louisiana,2,4
23,ME,Maine,2.1,4.9
24,MD,Maryland,1.5,3.6
25,MA,Massachusetts,0.4,4.3
26,MI,Michigan,3.4,7.4
27,MN,Minnesota,0.8,4.7
28,MS,Mississippi,2.8,6.3
29,MO,Missouri,2.9,5.3
30,MT,Montana,1.9,3.2
31,NE,Nebraska,0.7,2.8
32,NV,Nevada,3.6,5.2
33,NH,New Hampshire,0.8,3.4
34,NJ,New Jersey,2.2,4.2
35,NM,New Mexico,3.3,3.2
36,NY,New York,2.1,4.6
37,NC,North Carolina,2.8,4.7
38,ND,North Dakota,0.6,3.2
39,OH,Ohio,3.2,5.8
40,OK,Oklahoma,1,4.1
41,OR,Oregon,2.3,5.4
42,PA,Pennsylvania,1.9,4.4
44,RI,Rhode Island,3,5.2
45,SC,South Carolina,2.9,6.2
46,SD,South Dakota,0.9,2.9
47,TN,Tennessee,3.2,5
48,TX,Texas,3.2,4.2
49,UT,Utah,0.9,2.9
50,VT,Vermont,0.8,3.9
51,VA,Virginia,0.8,3.2
53,WA,Washington,1,4.6
54,WV,West Virginia,1.9,4.6
55,WI,Wisconsin,1.4,4.8
56,WY,Wyoming,0.6,3
